start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
3551.32,3560.88,FORREST,CROWD,HAND,ARM,NUDGE,0,NEGATIVE,NEGATIVE,0,NARRATION
3566.76,3578.16,JENNY,FORREST,CHEST ARM,CHEST ARM,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
3566.76,3578.16,FORREST,JENNY,CHEST ARM,CHEST ARM,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
3580.44,3587.00,JENNY,FORREST,HAND,ARM,HOLD,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
3594.08,3596.00,MEN,FORREST,HAND,ARM,SCAN,0,NEGATIVE,NEGATIVE,1,
3596.04,3596.36,JENNY,MEN,HAND,CHEST,PUSH_AWAY,0,POSITIVE,NEGATIVE,1,
3598.72,3600.12,MEN,JENNY,CHEST,ARM,BRUSH PAST,0,NEGATIVE,NEGATIVE,0,
3623.64,3624.16,MEN,MEN,HAND,CHEST,PUSH_AWAY,0,NEGATIVE,NEGATIVE,1,
3644.88,3645.68,MEN,JENNY,HAND,FACE,SMACK,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
3654.04,3655.32,FORREST,MEN,CHEST,ARM CHEST,TACKLE,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
3658.92,3661.20,FORREST,MEN,HAND,FACE,HIT,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,NARRATION
3664.40,3665.36,JENNY,FORREST,HAND,ARM,PULL_SOMEBODY,1,NEGATIVE,NEGATIVE,1,NARRATION
3666.08,3666.68,JENNY,MEN,HAND,ABDOMEN,PAT,0,POSITIVE,NEGATIVE,1,
3723.28,3726.60,JENNY,FORREST,HAND,SHOULDER,FIX_CLOTHING,0,POSITIVE,POSITIVE,1,NARRATION
3745.76,3752.04,JENNY,FORREST,ARM,ARM,HOOK_ARM,0,POSITIVE,POSITIVE,1,NARRATION
3845.08,3845.24,FORREST,JENNY,HAND,HAND,BRUSH PAST,0,POSITIVE,POSITIVE,1,NARRATION
3868.96,3873.60,JENNY,FORREST,CHEST ARM,CHEST ARM,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
4252.40,4256.52,DAN,FORREST,HAND,BACK,BRUSH PAST,0,POSITIVE,POSITIVE,1,
4286.20,4286.56,WOMAN,DAN,HAND,HEAD,BRUSH PAST,0,POSITIVE,POSITIVE,0,
4297.28,4298.48,WOMAN,DAN,FACE,HEAD,,0,POSITIVE,POSITIVE,1,
4298.20,4300.28,WOMAN,FORREST,HAND,BACK,BRUSH PAST,0,POSITIVE,POSITIVE,1,
4344.64,4356.32,,FORREST,FACE,FACE,,1,POSITIVE,POSITIVE,1,NARRATION
4504.64,4507.44,MRS_GUMP,FORREST,HAND,SHOULDER,HOLD,0,STRONG_POSITIVE,POSITIVE,1,
4506.76,4507.04,MRS_GUMP,FORREST,FACE,FACE,,1,STRONG_POSITIVE,POSITIVE,1,
4507.08,4508.00,FORREST,MRS_GUMP,HAND,SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,1,
4509.80,4511.08,MRS_GUMP,FORREST,HAND,HAND,LEAD,0,POSITIVE,POSITIVE,1,
4689.04,4692.56,CROWD,CROWD,HAND,HAND,DANCE,0,POSITIVE,POSITIVE,0,
4689.04,4690.92,WOMAN,MEN,HAND,HAND,DANCE,0,POSITIVE,POSITIVE,0,
4689.04,4690.92,MEN,WOMAN,HAND,HAND,DANCE,0,POSITIVE,POSITIVE,0,
4693.96,4695.72,WOMAN,MEN,SHOULDER,ARM,ARM_AROUND_SHOULDER,0,POSITIVE,POSITIVE,0,
4693.96,4695.72,WOMAN,WOMAN,ARM,SHOULDER,ARM_AROUND_SHOULDER,0,POSITIVE,POSITIVE,0,
4696.28,4697.16,MEN,WOMAN,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
4724.08,4725.84,MEN,JENNY,HAND,BACK,PAT,0,POSITIVE,POSITIVE,1,NARRATION
4900.00,4901.52,FORREST,DAN,HAND,HAND,SHAKE_HANDS,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
4973.48,4982.72,CROWD,CROWD,ARM SHOULDER,ARM SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,0,
5006.40,5007.80,DAN,FORREST,ARM,SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,0,
5013.12,5013.92,DAN,FORREST,ARM,SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,0,
5257.24,5262.88,CROWD,CROWD,ARM SHOULDER,ARM SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,0,
5278.08,5278.68,WOMAN,MEN,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
5283.56,5287.56,BOY,WOMAN,CHEST,ARM,BRUSH PAST,0,POSITIVE,POSITIVE,0,
5283.88,5290.32,,CHILDREN,HAND,SHOULDER,BRUSH PAST,0,POSITIVE,POSITIVE,1,
5418.84,5429.84,JENNY,FORREST,FACE ARM CHEST,NECK ARM CHEST,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
5470.76,5473.72,JENNY,FORREST,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
5470.76,5473.72,FORREST,JENNY,ARM,ARM,NESTLE,0,POSITIVE,POSITIVE,0,
5483.28,5485.88,JENNY,FORREST,HAND,SHOULDER ARM,BRUSH PAST,0,POSITIVE,POSITIVE,1,
5488.60,5492.12,FORREST,JENNY,HAND,HAND,DANCE,1,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
5488.60,5492.12,JENNY,FORREST,HAND,HAND,DANCE,1,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
5496.12,5502.48,JENNY,FORREST,HAND,HAND,DANCE,1,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
5506.04,5507.84,FORREST,JENNY,HAND,HAND,DANCE,1,STRONG_POSITIVE,STRONG_POSITIVE,0,NARRATION
